age,sex
5,1
20,2
50,1
33,1
15,2
31,2
47,2
11,1
8,2
10,1
11,1
0,2
20,2
71,1
71,1
4,2
20,2
13,1
80,1
6,2
32,1
30,2
11,2
18,2
17,2
74,2
0,1
45,1
0,1
63,1
26,1
19,2
12,1
2,1
15,2
18,2
27,2
28,2
41,2
8,1
30,2
5,2
46,2
0,2
1,1
5,1
0,1
37,2
18,1
46,2
20,2
62,2
3,1
28,2
20,2
10,2
33,1
5,1
5,2
63,1
2,1
13,2
10,1
35,2
7,1
45,1
19,2
2,2
11,1
5,1
9,2
15,2
9,2
8,1
40,1
3,1
47,1
38,1
9,1
8,1
20,2
15,1
3,1
16,2
19,2
5,2
86,1
3,1
30,2
5,1
58,1
24,2
40,1
45,2
15,1
15,2
13,2
20,1
8,2
20,2
7,1
20,2
36,2
4,2
60,2
10,1
8,2
25,1
33,2
3,1
30,1
2,2
14,1
14,1
50,1
8,2
25,1
2,2
20,2
25,2
21,2
55,1
40,1
28,2
30,2
23,1
69,2
41,2
40,2
30,2
0,2
8,2
10,1
5,1
64,1
38,1
66,2
4,2
5,1
25,2
78,2
10,1
30,2
0,1
48,2
1,1
18,1
13,2
10,1
70,1
29,2
22,2
10,1
2,1
0,1
23,1
44,1
65,2
7,1
5,1
55,1
1,1
26,2
1,2
1,1
20,2
2,1
20,2
8,2
60,2
5,2
27,1
53,2
2,2
23,2
20,2
5,2
4,1
5,1
22,2
25,1
25,1
3,1
10,1
35,2
34,2
1,2
5,1
18,2
25,2
55,1
0,1
1,1
4,1
1,1
20,1
30,2
39,1
16,2
48,2
33,2
30,2
15,1
23,2
35,1
20,1
4,2
